Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1638784874,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,130,0,2007.5247999993735,2021.6506184613816,2007.5247999993735,2057.078800004092,8.0
1638784875,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,130,0,2007.5247999993735,2021.6506184613816,2007.5247999993735,2057.078800004092,8.0
1638784876,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,140,0,2007.5247999993735,2020.9638135714029,2007.5247999993735,2057.078800004092,8.0
1638784877,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,140,0,2007.5247999993735,2020.9638135714029,2007.5247999993735,2057.078800004092,8.0
1638784878,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,150,0,2007.5247999993735,2020.6171473332506,2007.5247999993735,2057.078800004092,8.0
1638784879,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,150,0,2007.5247999993735,2020.6171473332506,2007.5247999993735,2057.078800004092,8.0
1638784880,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,160,0,2007.5247999993735,2020.1324712498263,2007.5247999993735,2057.078800004092,8.0
1638784881,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,160,0,2007.5247999993735,2020.1324712498263,2007.5247999993735,2057.078800004092,8.0
1638784882,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,170,0,2007.5247999993735,2020.0305035293295,2007.5247999993735,2057.078800004092,8.0
1638784883,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,170,0,2007.5247999993735,2020.0305035293295,2007.5247999993735,2057.078800004092,8.0
1638784884,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,180,0,2007.5247999993735,2019.6196749999217,2007.5247999993735,2057.078800004092,8.0
1638784885,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,180,0,2007.5247999993735,2019.6196749999217,2007.5247999993735,2057.078800004092,8.0
1638784886,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,190,0,2007.5247999993735,2019.4521805262698,2007.5247999993735,2057.078800004092,8.0
1638784887,10,,Aggregated,5.000000,0.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,190,0,2007.5247999993735,2019.4521805262698,2007.5247999993735,2057.078800004092,8.0
