Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,240,0,2007.5247999993735,2019.4182154166203,2007.5247999993735,2057.078800004092,8.0,4.944105223538414,0.0,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
,Aggregated,240,0,2007.5247999993735,2019.4182154166203,2007.5247999993735,2057.078800004092,8.0,4.944105223538414,0.0,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
